kind,type,name,age,ability_name,ability_trait,ability_description,modifier_type,modifier_args
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,8d4c8700-frontendcopy,,,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ANTIQUITY_CIV,,TRAIT_MOD_MARKET_RESOURCE_CAP_TYPE; TRAIT_MOD_LIGHTHOUSE_RESOURCE_CAP_TYPE; TRAIT_MOD_CAPITAL_RESOURCE_CAP_TYPE; TRAIT_MOD_CITY_RESOURCE_CAP_TYPE; TRAIT_MOD_CAPITAL_FREE_FOOD_TYPE; TRAIT_MOD_PENALTY_OVER_SETTLEMENT_CAP_SETTLEMENTS_TYPE; TRAIT_INITIAL_SETTLEMENT_CAP_TYPE; TRAIT_MOD_CHIEFDOM_UNLOCKS_GOVERNMENT_TYPE; TRAIT_MOD_DEFAULT_YIELD_5_TYPE; TRAIT_MOD_DEFAULT_YIELD_10_TYPE; TRAIT_MOD_NEGATIVE_INFLUENCE_CONQUERED_SETTLEMENTS_TYPE; TRAIT_MOD_NEGATIVE_INFLUENCE_RAZED_SETTLEMENTS_TYPE; TRAIT_MOD_GOLD_UNASSIGNED_RESOURCE_TYPE; TRAIT_MOD_HAPPINESS_UNASSIGNED_RESOURCE_TYPE; TRAIT_MOD_TOWN_FARMING_PROJECT_TYPE; TRAIT_MOD_TOWN_FISHING_PROJECT_TYPE; TRAIT_MOD_TOWN_URBAN_CENTER_PROJECT_TYPE; TRAIT_MOD_TOWN_GROWTH_PROJECT_TYPE; MOD_DEFAULT_CIV_RIVER_EMBARKATION_NOT_TEHINA_TYPE,"Amount=1; Amount=2; Amount=2; Amount=1; Amount=1; YieldTypes=YIELD_HAPPINESS; Amount=5; MaxReduction=1000; Amount=3; YieldType=YIELD_GOLD; Amount=5; Tooltip=LOC_DEFAULT_YIELD; YieldType=YIELD_SCIENCE,YIELD_CULTURE,YIELD_DIPLOMACY; Amount=10; Tooltip=LOC_DEFAULT_YIELD; YieldType=YIELD_DIPLOMACY; Amount=-2; Tooltip=LOC_TRAIT_MOD_NEGATIVE_INFLUENCE_CONQUERED_SETTLEMENTS; YieldType=YIELD_DIPLOMACY; Amount=-2; Tooltip=LOC_TRAIT_MOD_NEGATIVE_INFLUENCE_RAZED_SETTLEMENTS; YieldType=YIELD_GOLD; Amount=1; Unassigned=true; YieldType=YIELD_HAPPINESS; Amount=1; Unassigned=true; ProjectType=PROJECT_TOWN_GRANARY; ProjectType=PROJECT_TOWN_FISHING; ProjectType=PROJECT_TOWN_URBAN_CENTER; Percent=50; EmbarkationType=UNIT_EMBARKATION_INLAND_WATER"
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_AKSUM,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,LOC_TRAIT_AKSUM_ABILITY_NAME,TRAIT_AKSUM_ABILITY,LOC_TRAIT_AKSUM_ABILITY_DESCRIPTION,TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_RESOURCE_TYPE; TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_TRADE_ROUTE_CAP_SELF_TYPE; TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_TRADE_ROUTE_CAP_OTHERS_TYPE; TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_TRADE_ROUTE_UNLIMITED_RANGE_TYPE; MOD_CIV_WONDER_PRODUCTION_AKSUM_TYPE,WarehouseYieldChange=AksumKingdomOfNaturalWealthResourceGold; Tooltip=LOC_TRAIT_AKSUM_ABILITY_NAME; Amount=1; MajorsOnly=true; Amount=1; MajorsOnly=true; RoutesToPlayer=true; UnlimitedRange=true; Percent=30
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ATTRIBUTE_CULTURAL,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ATTRIBUTE_CULTURAL_TOT_EX,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ATTRIBUTE_CULTURAL_TOT_MO,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ATTRIBUTE_ECONOMIC,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ATTRIBUTE_ECONOMIC_TOT_EX,,,
civilization,CIVILIZATION_AKSUM,LOC_CIVILIZATION_AKSUM_NAME,35994bc7-gameplaycopy,,TRAIT_ATTRIBUTE_ECONOMIC_TOT_MO,,,
civilization,CIVILIZATION_EGYPT,LOC_CIVILIZATION_EGYPT_NAME,8d4c8700-frontendcopy,,,,,
